Metric,Value,Source
MAE,18.5639,Extracted
RMSE,23.1565,Extracted
R2,0.8746,Extracted
Confidence Interval,90%,Extracted
Training Loss (Final),0.058541,Estimated*
Validation Loss (Final),0.087913,Estimated*
