Metric,Value,Source
MAE,3.9405,Extracted
RMSE,6.3453,Extracted
R2,0.9110,Extracted
Confidence Interval,90%,Extracted
Training Loss (Final),0.0005,Estimated*
Validation Loss (Final),0.008,Estimated*
